Date,Open,High,Low,Close*,Adj. close**,Volume
28 Jun. 2019,2932.94,2943.98,2929.05,2941.76,2941.76,5420700000
27 Jun. 2019,2919.66,2929.30,2918.57,2924.92,2924.92,3122920000
26 Jun. 2019,2926.07,2932.59,2912.99,2913.78,2913.78,3478130000
25 Jun. 2019,2945.78,2946.52,2916.01,2917.38,2917.38,3578050000
24 Jun. 2019,2951.42,2954.92,2944.05,2945.35,2945.35,3136250000
21 Jun. 2019,2952.71,2964.15,2946.87,2950.46,2950.46,5000120000
20 Jun. 2019,2949.60,2958.06,2931.50,2954.18,2954.18,3905940000
19 Jun. 2019,2920.55,2931.74,2911.43,2926.46,2926.46,3287890000
18 Jun. 2019,2906.71,2930.79,2905.44,2917.75,2917.75,3437620000
17 Jun. 2019,2889.75,2897.27,2887.30,2889.67,2889.67,2810140000
14 Jun. 2019,2886.82,2894.45,2879.62,2886.98,2886.98,2922330000
13 Jun. 2019,2886.24,2895.24,2881.99,2891.64,2891.64,3069810000
12 Jun. 2019,2882.73,2888.57,2874.68,2879.84,2879.84,3034130000
11 Jun. 2019,2903.27,2910.61,2878.53,2885.72,2885.72,3548420000
10 Jun. 2019,2885.83,2904.77,2885.51,2886.73,2886.73,3209210000
07 Jun. 2019,2852.87,2884.97,2852.87,2873.34,2873.34,3220250000
06 Jun. 2019,2828.51,2852.10,2822.45,2843.49,2843.49,3396410000
05 Jun. 2019,2818.09,2827.28,2800.92,2826.15,2826.15,3548830000
04 Jun. 2019,2762.64,2804.49,2762.64,2803.27,2803.27,3810430000
03 Jun. 2019,2751.53,2763.07,2728.81,2744.45,2744.45,3943810000
31 May 2019,2766.15,2768.98,2750.52,2752.06,2752.06,3981020000
30 May 2019,2786.94,2799.00,2776.74,2788.86,2788.86,3273790000
29 May 2019,2790.25,2792.03,2766.06,2783.02,2783.02,3700050000
28 May 2019,2830.03,2840.51,2801.58,2802.39,2802.39,4121410000
24 May 2019,2832.41,2841.36,2820.19,2826.06,2826.06,2887390000
23 May 2019,2836.70,2836.70,2805.49,2822.24,2822.24,3891980000
22 May 2019,2856.06,2865.47,2851.11,2856.27,2856.27,3192510000
21 May 2019,2854.02,2868.88,2854.02,2864.36,2864.36,3218700000
20 May 2019,2841.94,2853.86,2831.29,2840.23,2840.23,3288870000
17 May 2019,2858.60,2885.48,2854.23,2859.53,2859.53,3257950000
16 May 2019,2855.80,2892.15,2855.80,2876.32,2876.32,3338060000
15 May 2019,2820.38,2858.68,2815.08,2850.96,2850.96,3125950000
14 May 2019,2820.12,2852.54,2820.12,2834.41,2834.41,3322720000
13 May 2019,2840.19,2840.19,2801.43,2811.87,2811.87,3894030000
10 May 2019,2863.10,2891.31,2825.39,2881.40,2881.40,3529600000
09 May 2019,2859.84,2875.97,2836.40,2870.72,2870.72,3638820000
08 May 2019,2879.61,2897.96,2873.28,2879.42,2879.42,3485790000
